
=== Scan started: 2026-03-09 20:38:13 ===
Target: localhost (127.0.0.1)
Ports: 1-500

Port   389 | closed/timeout | Service: N/A
Port   393 | closed/timeout | Service: N/A
Port   348 | closed/timeout | Service: N/A
Port   355 | closed/timeout | Service: N/A
Port   372 | closed/timeout | Service: N/A
Port   363 | closed/timeout | Service: N/A
Port   384 | closed/timeout | Service: N/A
Port   402 | closed/timeout | Service: N/A
Port   408 | closed/timeout | Service: N/A
Port   414 | closed/timeout | Service: N/A
Port   433 | closed/timeout | Service: N/A
Port   406 | closed/timeout | Service: N/A
Port   407 | closed/timeout | Service: N/A
Port   426 | closed/timeout | Service: N/A
Port   430 | closed/timeout | Service: N/A
Port   403 | closed/timeout | Service: N/A
Port   427 | closed/timeout | Service: N/A
Port   425 | closed/timeout | Service: N/A
Port   423 | closed/timeout | Service: N/A
Port   418 | closed/timeout | Service: N/A
Port   434 | closed/timeout | Service: N/A
Port   429 | closed/timeout | Service: N/A
Port   437 | closed/timeout | Service: N/A
Port   436 | closed/timeout | Service: N/A
Port   440 | closed/timeout | Service: N/A
Port   413 | closed/timeout | Service: N/A
Port   441 | closed/timeout | Service: N/A
Port   428 | closed/timeout | Service: N/A
Port   435 | closed/timeout | Service: N/A
Port   419 | closed/timeout | Service: N/A
Port   421 | closed/timeout | Service: N/A
Port   404 | closed/timeout | Service: N/A
Port   411 | closed/timeout | Service: N/A
Port   442 | closed/timeout | Service: N/A
Port   438 | closed/timeout | Service: N/A
Port   431 | closed/timeout | Service: N/A
Port   444 | closed/timeout | Service: N/A
Port   405 | closed/timeout | Service: N/A
Port   416 | closed/timeout | Service: N/A
Port   439 | closed/timeout | Service: N/A
Port   412 | closed/timeout | Service: N/A
Port   420 | closed/timeout | Service: N/A
Port   415 | closed/timeout | Service: N/A
Port   410 | closed/timeout | Service: N/A
Port   432 | closed/timeout | Service: N/A
Port   409 | closed/timeout | Service: N/A
Port   424 | closed/timeout | Service: N/A
Port   443 | closed/timeout | Service: N/A
Port   422 | closed/timeout | Service: N/A
Port   417 | closed/timeout | Service: N/A
Port   446 | closed/timeout | Service: N/A
Port   456 | closed/timeout | Service: N/A
Port   449 | closed/timeout | Service: N/A
Port   461 | closed/timeout | Service: N/A
Port   457 | closed/timeout | Service: N/A
Port   460 | closed/timeout | Service: N/A
Port   482 | closed/timeout | Service: N/A
Port   476 | closed/timeout | Service: N/A
Port   487 | closed/timeout | Service: N/A
Port   472 | closed/timeout | Service: N/A
Port   454 | closed/timeout | Service: N/A
Port   479 | closed/timeout | Service: N/A
Port   467 | closed/timeout | Service: N/A
Port   497 | closed/timeout | Service: N/A
Port   492 | closed/timeout | Service: N/A
Port   469 | closed/timeout | Service: N/A
Port   495 | closed/timeout | Service: N/A
Port   498 | closed/timeout | Service: N/A
Port   468 | closed/timeout | Service: N/A
Port   458 | closed/timeout | Service: N/A
Port   470 | closed/timeout | Service: N/A
Port   494 | closed/timeout | Service: N/A
Port   489 | closed/timeout | Service: N/A
Port   464 | closed/timeout | Service: N/A
Port   483 | closed/timeout | Service: N/A
Port   480 | closed/timeout | Service: N/A
Port   488 | closed/timeout | Service: N/A
Port   447 | closed/timeout | Service: N/A
Port   486 | closed/timeout | Service: N/A
Port   491 | closed/timeout | Service: N/A
Port   474 | closed/timeout | Service: N/A
Port   481 | closed/timeout | Service: N/A
Port   500 | closed/timeout | Service: N/A
Port   485 | closed/timeout | Service: N/A
Port   455 | closed/timeout | Service: N/A
Port   466 | closed/timeout | Service: N/A
Port   477 | closed/timeout | Service: N/A
Port   450 | closed/timeout | Service: N/A
Port   471 | closed/timeout | Service: N/A
Port   465 | closed/timeout | Service: N/A
Port   496 | closed/timeout | Service: N/A
Port   463 | closed/timeout | Service: N/A
Port   473 | closed/timeout | Service: N/A
Port   448 | closed/timeout | Service: N/A
Port   459 | closed/timeout | Service: N/A
Port   490 | closed/timeout | Service: N/A
Port   462 | closed/timeout | Service: N/A
Port   451 | closed/timeout | Service: N/A
Port   475 | closed/timeout | Service: N/A
Port   452 | closed/timeout | Service: N/A
Port   484 | closed/timeout | Service: N/A
Port   453 | closed/timeout | Service: N/A
Port   493 | closed/timeout | Service: N/A
Port   499 | closed/timeout | Service: N/A
Port   478 | closed/timeout | Service: N/A

Scan completed in 3.11s | Open ports: 2

